日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-05-12,001319,17.87,21.44,21.44,17.87,13424,28649758.0,23.98,43.99,6.55,3.8
2022-05-13,001319,23.58,23.58,23.58,23.58,2314,5455987.0,0.0,9.98,2.14,0.65
2022-05-16,001319,25.94,25.94,25.94,25.94,3328,8631950.0,0.0,10.01,2.36,0.94
2022-05-17,001319,28.53,28.53,28.53,28.53,3970,11325753.0,0.0,9.98,2.59,1.12
2022-05-18,001319,31.38,31.38,31.38,31.38,3301,10357816.0,0.0,9.99,2.85,0.93
2022-05-19,001319,34.52,34.52,34.52,34.52,13306,45933451.0,0.0,10.01,3.14,3.76
2022-05-20,001319,37.97,37.97,37.97,37.97,26204,99495790.0,0.0,9.99,3.45,7.41
2022-05-23,001319,40.69,41.77,41.77,39.15,288934,1180800400.0,6.9,10.01,3.8,81.74
2022-05-24,001319,41.0,38.5,44.5,37.65,272610,1109914016.0,16.4,-7.83,-3.27,77.12
2022-05-25,001319,34.65,34.65,36.67,34.65,205773,718675504.0,5.25,-10.0,-3.85,58.21
2022-05-26,001319,32.65,31.19,33.0,31.19,148839,468978768.0,5.22,-9.99,-3.46,42.1
2022-05-27,001319,29.5,30.31,31.61,29.5,155221,475907360.0,6.76,-2.82,-0.88,43.91
2022-05-30,001319,30.38,30.5,31.57,29.6,128136,394462624.0,6.5,0.63,0.19,36.25
2022-05-31,001319,30.0,31.8,31.8,29.64,126799,390413680.0,7.08,4.26,1.3,35.87
2022-06-01,001319,31.0,34.98,34.98,30.61,184565,623405296.0,13.74,10.0,3.18,52.21
2022-06-02,001319,36.54,32.0,36.91,31.48,206487,689462624.0,15.52,-8.52,-2.98,58.41
2022-06-06,001319,30.22,28.81,30.79,28.8,162676,476079008.0,6.22,-9.97,-3.19,46.02
2022-06-07,001319,28.41,27.72,29.05,27.33,108563,306102544.0,5.97,-3.78,-1.09,30.71
2022-06-08,001319,27.4,28.24,28.27,27.19,81096,225365199.0,3.9,1.88,0.52,22.94
2022-06-09,001319,27.8,26.15,27.94,26.02,85085,228062502.0,6.8,-7.4,-2.09,24.07
2022-06-10,001319,25.94,26.57,26.88,25.88,52851,140073057.0,3.82,1.61,0.42,14.95
2022-06-13,001319,26.57,27.3,27.75,26.2,72309,197086225.0,5.83,2.75,0.73,20.46
2022-06-14,001319,26.8,26.65,27.0,25.8,60245,158957498.0,4.4,-2.38,-0.65,17.04
2022-06-15,001319,26.55,27.31,28.48,26.55,82196,226637391.0,7.24,2.48,0.66,23.25
2022-06-16,001319,26.93,26.61,27.0,26.32,64481,171298423.0,2.49,-2.56,-0.7,18.24
2022-06-17,001319,26.05,27.19,27.68,25.92,70215,189632727.0,6.61,2.18,0.58,19.86
2022-06-20,001319,27.53,27.22,28.3,27.17,74005,204774607.0,4.16,0.11,0.03,20.93
2022-06-21,001319,27.02,27.7,28.5,26.52,78765,215533008.0,7.27,1.76,0.48,22.28
2022-06-22,001319,27.37,30.47,30.47,27.18,164599,484453552.0,11.88,10.0,2.77,46.56
2022-06-23,001319,31.6,33.52,33.52,31.6,148677,488368928.0,6.3,10.01,3.05,42.06
2022-06-24,001319,35.0,31.26,36.0,31.2,228858,750300624.0,14.32,-6.74,-2.26,64.74
2022-06-27,001319,30.06,30.63,32.06,30.0,139628,428599776.0,6.59,-2.02,-0.63,39.5
2022-06-28,001319,30.3,32.28,33.59,29.65,165328,522810080.0,12.86,5.39,1.65,46.77
2022-06-29,001319,32.06,29.18,32.49,29.1,132330,405313872.0,10.5,-9.6,-3.1,37.43
2022-06-30,001319,28.69,28.87,29.7,28.67,74959,217620182.0,3.53,-1.06,-0.31,21.2
2022-07-01,001319,29.0,28.12,29.28,28.03,64487,183994203.0,4.33,-2.6,-0.75,18.24
2022-07-04,001319,28.36,28.53,28.57,27.68,41910,118398671.0,3.17,1.46,0.41,11.86
2022-07-05,001319,28.35,27.89,28.77,27.28,53133,148468430.0,5.22,-2.24,-0.64,15.03
2022-07-06,001319,27.99,27.5,28.28,27.0,42711,117945792.0,4.59,-1.4,-0.39,12.08
2022-07-07,001319,27.4,27.8,28.07,27.15,46933,130384631.0,3.35,1.09,0.3,13.28
2022-07-08,001319,27.57,27.18,28.05,27.13,43166,118795513.0,3.31,-2.23,-0.62,12.21
2022-07-11,001319,27.31,26.76,27.37,26.5,31080,83017496.0,3.2,-1.55,-0.42,8.79
2022-07-12,001319,26.72,28.72,29.44,26.13,115501,329013181.83,12.37,7.32,1.96,32.67
2022-07-13,001319,27.4,27.51,27.71,26.72,83934,228118391.1,3.45,-4.21,-1.21,23.74
2022-07-14,001319,27.18,27.53,27.78,27.08,48581,133438769.6,2.54,0.07,0.02,13.74
