日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-07-10,688603,87.3,87.11,94.8,77.0,97362,846297172.0,32.36,58.38,32.11,81.02
2023-07-11,688603,88.38,91.19,99.9,88.0,51979,489352734.0,13.66,4.68,4.08,43.26
2023-07-12,688603,88.51,92.3,95.38,85.73,39920,365275075.0,10.58,1.22,1.11,33.22
2023-07-13,688603,91.67,103.02,103.02,91.67,38133,373731352.0,12.3,11.61,10.72,31.73
2023-07-14,688603,103.81,97.92,103.81,94.0,37688,369892286.0,9.52,-4.95,-5.1,31.36
2023-07-17,688603,96.95,96.44,99.98,95.0,20205,197181449.0,5.09,-1.51,-1.48,16.82
2023-07-18,688603,95.46,94.88,103.02,94.61,19021,187163684.0,8.72,-1.62,-1.56,15.83
2023-07-19,688603,93.93,96.91,101.75,93.93,16438,160820110.0,8.24,2.14,2.03,13.68
2023-07-20,688603,96.05,99.4,102.0,94.61,14786,146142386.0,7.63,2.57,2.49,12.3
2023-07-21,688603,99.02,93.99,100.76,93.01,14121,135441668.0,7.8,-5.44,-5.41,11.75
2023-07-24,688603,92.08,94.5,96.0,91.02,7485,70725875.0,5.3,0.54,0.51,6.23
2023-07-25,688603,96.2,98.08,99.89,95.22,10075,99112335.0,4.94,3.79,3.58,8.38
2023-07-26,688603,96.5,95.0,98.9,94.0,7106,68264883.0,5.0,-3.14,-3.08,5.91
2023-07-27,688603,94.45,93.11,95.95,92.0,3641,34316109.0,4.16,-1.99,-1.89,3.03
2023-07-28,688603,93.11,90.69,93.11,88.9,7242,65754048.0,4.52,-2.6,-2.42,6.03
2023-07-31,688603,93.72,89.79,93.72,87.13,5843,52435997.0,7.27,-0.99,-0.9,4.86
2023-08-01,688603,88.87,89.76,93.0,86.0,5711,50897762.0,7.8,-0.03,-0.03,4.75
2023-08-02,688603,88.09,95.6,95.8,87.13,11377,105466581.0,9.66,6.51,5.84,9.47
2023-08-03,688603,94.8,90.1,95.49,89.51,7309,66934147.0,6.26,-5.75,-5.5,6.08
2023-08-04,688603,89.1,92.46,93.1,88.22,5477,50176890.0,5.42,2.62,2.36,4.56
2023-08-07,688603,91.86,92.98,93.6,89.68,5158,47290855.0,4.24,0.56,0.52,4.29
2023-08-08,688603,93.89,89.5,93.91,89.5,3835,34907452.0,4.74,-3.74,-3.48,3.19
2023-08-09,688603,88.5,90.2,91.81,88.24,4197,37721516.0,3.99,0.78,0.7,3.49
2023-08-10,688603,89.01,89.89,91.65,88.0,2944,26451634.0,4.05,-0.34,-0.31,2.45
2023-08-11,688603,90.0,86.6,90.0,86.0,3913,34326776.0,4.45,-3.66,-3.29,3.26
2023-08-14,688603,85.2,87.32,88.66,85.0,3116,27076775.0,4.23,0.83,0.72,2.59
2023-08-15,688603,87.32,85.42,87.32,82.4,4372,36987514.0,5.63,-2.18,-1.9,3.64
2023-08-16,688603,83.02,83.79,85.14,83.02,2362,19856928.0,2.48,-1.91,-1.63,1.97
2023-08-17,688603,85.47,82.0,85.47,79.59,10970,88876463.0,7.02,-2.14,-1.79,9.13
2023-08-18,688603,81.51,83.6,89.0,81.51,9220,79643307.0,9.13,1.95,1.6,7.67
2023-08-21,688603,83.6,86.13,87.29,81.9,5531,46982143.0,6.45,3.03,2.53,4.6
2023-08-22,688603,86.3,83.14,87.1,81.78,4255,35588511.0,6.18,-3.47,-2.99,3.54
2023-08-23,688603,83.14,80.0,83.14,79.58,4862,39372605.0,4.28,-3.78,-3.14,4.05
2023-08-24,688603,80.6,79.97,83.98,79.2,7081,57662495.0,5.98,-0.04,-0.03,5.89
2023-08-25,688603,63.98,74.32,81.0,63.98,8051,60734664.0,21.28,-7.07,-5.65,6.7
2023-08-28,688603,79.19,76.72,81.56,74.32,6625,51785245.0,9.74,3.23,2.4,5.51
2023-08-29,688603,73.9,80.51,82.95,73.71,7009,54974148.0,12.04,4.94,3.79,5.83
2023-08-30,688603,84.51,84.96,85.47,82.0,8456,70703339.0,4.31,5.53,4.45,7.04
2023-08-31,688603,85.0,83.75,85.54,82.21,4810,40311354.0,3.92,-1.42,-1.21,4.0
2023-09-01,688603,81.6,78.98,83.8,78.52,5634,45424558.0,6.3,-5.7,-4.77,4.69
2023-09-04,688603,79.99,77.2,79.99,76.22,5178,40060266.0,4.77,-2.25,-1.78,4.31
2023-09-05,688603,76.57,80.4,83.8,76.57,6980,56338474.0,9.37,4.15,3.2,5.81
2023-09-06,688603,83.0,82.75,84.5,78.23,7206,58945549.0,7.8,2.92,2.35,6.0
2023-09-07,688603,82.76,80.0,85.5,80.0,4806,39800056.0,6.65,-3.32,-2.75,4.0
2023-09-08,688603,78.93,80.32,81.67,78.33,4188,33306187.0,4.18,0.4,0.32,3.49
2023-09-11,688603,80.56,81.82,82.49,78.02,5125,41159747.0,5.57,1.87,1.5,4.27
2023-09-12,688603,81.2,78.11,81.58,77.79,4249,33684487.0,4.63,-4.53,-3.71,3.54
2023-09-13,688603,78.0,77.85,78.55,75.0,3783,28980468.0,4.54,-0.33,-0.26,3.15
2023-09-14,688603,77.88,74.07,79.1,72.9,4828,36095468.0,7.96,-4.86,-3.78,4.02
2023-09-15,688603,74.06,70.67,74.06,70.05,5570,40088750.0,5.41,-4.59,-3.4,4.64
2023-09-18,688603,68.58,68.92,72.8,68.06,4813,33658617.0,6.71,-2.48,-1.75,4.01
2023-09-19,688603,68.75,68.33,69.49,67.6,2132,14588436.0,2.74,-0.86,-0.59,1.77
2023-09-20,688603,68.33,67.38,69.04,66.67,2261,15304458.0,3.47,-1.39,-0.95,1.88
2023-09-21,688603,67.38,68.28,69.81,66.98,3536,24300055.0,4.2,1.34,0.9,2.94
2023-09-22,688603,69.28,69.5,69.98,66.66,3206,22020096.0,4.86,1.79,1.22,2.67
2023-09-25,688603,69.45,70.03,71.0,67.55,3703,25882918.0,4.96,0.76,0.53,3.08
2023-09-26,688603,70.3,74.5,74.96,68.23,5303,38493509.0,9.61,6.38,4.47,4.41
2023-09-27,688603,75.0,70.44,75.0,70.35,5296,38237381.0,6.24,-5.45,-4.06,4.41
2023-09-28,688603,70.97,72.76,73.44,68.89,2950,21159348.0,6.46,3.29,2.32,2.45
2023-10-09,688603,73.0,70.69,73.48,70.28,2491,17846530.0,4.4,-2.84,-2.07,2.07
2023-10-10,688603,70.07,68.87,71.07,68.37,2500,17373307.0,3.82,-2.57,-1.82,2.08
2023-10-11,688603,70.0,69.81,72.51,69.12,3477,24456600.0,4.92,1.36,0.94,2.89
2023-10-12,688603,71.99,75.42,75.88,69.29,7245,52643032.0,9.44,8.04,5.61,6.03
2023-10-13,688603,75.06,75.06,77.59,72.3,4963,36849178.0,7.01,-0.48,-0.36,4.13
2023-10-16,688603,75.1,71.99,75.1,70.9,3595,26059852.0,5.6,-4.09,-3.07,2.99
2023-10-17,688603,71.77,70.31,71.77,69.06,2352,16474216.0,3.76,-2.33,-1.68,1.96
2023-10-18,688603,71.99,76.51,79.99,70.51,9553,73666065.0,13.48,8.82,6.2,7.95
2023-10-19,688603,73.0,77.05,79.09,72.32,7192,55232300.0,8.85,0.71,0.54,5.99
2023-10-20,688603,75.15,71.88,76.68,71.29,3616,26562626.0,7.0,-6.71,-5.17,3.01
2023-10-23,688603,70.98,68.94,71.58,68.31,3937,27474730.0,4.55,-4.09,-2.94,3.28
2023-10-24,688603,70.41,71.92,74.59,67.88,3675,26213079.0,9.73,4.32,2.98,3.06
2023-10-25,688603,72.93,71.2,72.93,70.66,1445,10335666.0,3.16,-1.0,-0.72,1.2
2023-10-26,688603,69.52,70.26,71.5,68.6,1740,12114622.0,4.07,-1.32,-0.94,1.45
2023-10-27,688603,70.04,73.41,75.0,68.87,3058,22150107.0,8.72,4.48,3.15,2.54
2023-10-30,688603,74.09,78.19,79.07,72.3,4965,38044923.0,9.22,6.51,4.78,4.13
2023-10-31,688603,77.86,75.89,78.98,74.33,2234,16940975.0,5.95,-2.94,-2.3,1.86
2023-11-01,688603,74.5,74.04,76.44,73.75,1557,11631282.0,3.54,-2.44,-1.85,1.3
2023-11-02,688603,74.04,71.48,75.87,71.3,1658,12043972.0,6.17,-3.46,-2.56,1.38
2023-11-03,688603,72.0,75.72,77.78,71.48,3699,27702087.0,8.81,5.93,4.24,3.08
2023-11-06,688603,75.72,83.5,85.8,74.95,8979,73976958.0,14.33,10.27,7.78,7.47
2023-11-07,688603,88.4,84.05,88.4,81.55,7129,59897626.0,8.2,0.66,0.55,5.93
2023-11-08,688603,82.99,91.0,93.0,81.15,13267,117124387.0,14.1,8.27,6.95,11.04
2023-11-09,688603,90.5,85.2,90.87,84.06,11782,103389765.0,7.48,-6.37,-5.8,9.81
2023-11-10,688603,84.66,83.62,86.54,82.81,5359,45351737.0,4.38,-1.85,-1.58,4.46
2023-11-13,688603,83.31,79.76,85.1,79.0,8051,65301162.0,7.29,-4.62,-3.86,6.7
2023-11-14,688603,79.75,82.99,83.5,78.34,5930,48246929.0,6.47,4.05,3.23,4.93
2023-11-15,688603,85.55,84.1,89.7,83.22,6236,53451240.0,7.81,1.34,1.11,5.19
2023-11-16,688603,83.6,80.73,83.6,80.31,5280,43083577.0,3.91,-4.01,-3.37,4.39
2023-11-17,688603,80.1,87.0,89.0,79.86,13918,119343555.0,11.32,7.77,6.27,11.58
