日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-02-22,001225,56.17,67.41,67.41,56.17,13795,92726888.02,24.01,44.01,20.6,8.53
2023-02-23,001225,67.81,68.15,73.98,67.61,86943,604694765.05,9.45,1.1,0.74,53.78
2023-02-24,001225,64.2,61.45,65.52,61.36,58150,367801653.75,6.1,-9.83,-6.7,35.97
2023-02-27,001225,59.61,57.73,60.01,57.7,44287,258838646.37,3.76,-6.05,-3.72,27.39
2023-02-28,001225,56.85,57.97,58.85,56.85,28444,163967302.95,3.46,0.42,0.24,17.59
2023-03-01,001225,57.33,56.86,57.48,56.4,27269,154920192.77,1.86,-1.91,-1.11,16.87
2023-03-02,001225,56.85,57.1,57.38,56.36,21048,119604368.38,1.79,0.42,0.24,13.02
2023-03-03,001225,56.5,56.75,57.29,56.5,15865,90247281.51,1.38,-0.61,-0.35,9.81
2023-03-06,001225,56.9,56.79,57.17,56.27,13856,78418260.94,1.59,0.07,0.04,8.57
2023-03-07,001225,56.79,54.55,56.79,54.55,22568,125343772.32,3.94,-3.94,-2.24,13.96
2023-03-08,001225,54.0,54.78,54.87,53.56,12494,67885407.89,2.4,0.42,0.23,7.73
2023-03-09,001225,54.69,55.53,56.0,54.26,15566,86150896.55,3.18,1.37,0.75,9.63
2023-03-10,001225,55.03,53.99,55.19,53.95,12231,66338021.37,2.23,-2.77,-1.54,7.57
2023-03-13,001225,53.67,55.05,55.39,53.66,15009,82380427.78,3.2,1.96,1.06,9.28
2023-03-14,001225,55.06,53.32,55.19,52.6,14033,75249184.84,4.7,-3.14,-1.73,8.68
2023-03-15,001225,53.28,53.33,53.77,53.28,7728,41358304.82,0.92,0.02,0.01,4.78
2023-03-16,001225,53.25,53.7,54.49,53.25,13538,73051757.68,2.33,0.69,0.37,8.37
2023-03-17,001225,53.51,54.32,55.38,53.09,15641,85073187.82,4.26,1.15,0.62,9.67
2023-03-20,001225,54.08,53.4,54.17,52.91,10536,56191114.85,2.32,-1.69,-0.92,6.52
2023-03-21,001225,53.35,53.81,53.85,53.13,7800,41721812.28,1.35,0.77,0.41,4.82
2023-03-22,001225,53.87,54.13,54.5,53.7,8861,47913230.76,1.49,0.59,0.32,5.48
2023-03-23,001225,53.79,53.44,53.85,53.42,8167,43763420.71,0.79,-1.27,-0.69,5.05
2023-03-24,001225,53.46,52.77,53.46,52.69,9325,49419162.0,1.44,-1.25,-0.67,5.77
2023-03-27,001225,52.81,51.52,52.96,51.29,10676,55254538.63,3.16,-2.37,-1.25,6.6
2023-03-28,001225,51.53,51.86,51.99,50.55,10171,51997927.55,2.8,0.66,0.34,6.29
2023-03-29,001225,51.58,50.88,52.12,50.85,6873,35362533.4,2.45,-1.89,-0.98,4.25
2023-03-30,001225,50.88,49.88,50.88,49.66,8581,42880927.6,2.4,-1.97,-1.0,5.31
2023-03-31,001225,49.9,50.23,50.25,49.73,5204,26066194.95,1.04,0.7,0.35,3.22
2023-04-03,001225,50.22,51.42,51.68,50.21,9538,48639857.59,2.93,2.37,1.19,5.9
2023-04-04,001225,50.9,50.53,51.0,50.36,8764,44300119.1,1.24,-1.73,-0.89,5.42
2023-04-06,001225,50.69,50.77,51.2,50.42,6191,31437611.32,1.54,0.47,0.24,3.83
2023-04-07,001225,50.64,50.58,50.76,50.1,5115,25816931.03,1.3,-0.37,-0.19,3.16
2023-04-10,001225,50.58,50.31,50.84,50.0,6727,33963570.6,1.66,-0.53,-0.27,4.16
2023-04-11,001225,50.32,49.88,50.65,49.69,5925,29629810.7,1.91,-0.85,-0.43,3.67
2023-04-12,001225,49.93,50.4,50.42,49.76,4889,24497864.92,1.32,1.04,0.52,3.02
2023-04-13,001225,50.16,49.84,50.28,49.82,4835,24144321.3,0.91,-1.11,-0.56,2.99
2023-04-14,001225,49.93,50.2,50.28,49.86,4461,22347539.65,0.84,0.72,0.36,2.76
2023-04-17,001225,50.08,50.26,50.5,49.93,4424,22220403.26,1.14,0.12,0.06,2.74
2023-04-18,001225,50.35,50.1,50.44,50.09,4206,21123521.91,0.7,-0.32,-0.16,2.6
2023-04-19,001225,49.98,49.1,50.0,48.71,8266,40689879.61,2.57,-2.0,-1.0,5.11
2023-04-20,001225,49.07,47.97,49.14,47.94,6901,33277825.25,2.44,-2.3,-1.13,4.27
2023-04-21,001225,47.96,46.88,48.17,46.85,6133,28996511.0,2.75,-2.27,-1.09,3.79
2023-04-24,001225,46.87,46.78,46.89,46.02,3610,16797776.31,1.86,-0.21,-0.1,2.23
2023-04-25,001225,46.68,45.08,46.89,44.7,6411,29186158.37,4.68,-3.63,-1.7,3.97
2023-04-26,001225,45.0,45.68,46.08,44.8,4138,18896310.43,2.84,1.33,0.6,2.56
2023-04-27,001225,45.88,45.86,46.43,45.44,3725,17120543.73,2.17,0.39,0.18,2.3
2023-04-28,001225,45.77,46.73,46.77,45.68,4781,22224769.0,2.38,1.9,0.87,2.96
2023-05-04,001225,46.3,46.33,46.72,46.1,3663,16988018.0,1.33,-0.86,-0.4,2.27
2023-05-05,001225,46.33,45.5,46.68,45.46,4153,18973925.5,2.63,-1.79,-0.83,2.57
2023-05-08,001225,45.8,45.5,45.88,45.42,2766,12591152.0,1.01,0.0,0.0,1.71
2023-05-09,001225,45.5,44.6,45.58,44.51,4822,21607446.55,2.35,-1.98,-0.9,2.98
2023-05-10,001225,44.58,44.9,44.97,44.26,3067,13693975.05,1.59,0.67,0.3,1.9
2023-05-11,001225,44.83,45.05,45.18,44.74,2542,11442221.5,0.98,0.33,0.15,1.57
2023-05-12,001225,44.99,46.57,48.2,44.8,11165,52275016.56,7.55,3.37,1.52,6.91
2023-05-15,001225,46.11,46.54,46.7,45.8,4887,22604227.34,1.93,-0.06,-0.03,3.02
2023-05-16,001225,46.89,47.03,47.05,46.4,4258,19870273.43,1.4,1.05,0.49,2.63
2023-05-17,001225,47.0,47.59,47.66,46.8,5296,25070436.13,1.83,1.19,0.56,3.28
