日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-08-15,001339,20.23,24.28,24.28,20.23,11197,27090482.56,24.02,44.01,7.42,1.81
2022-08-16,001339,26.71,26.71,26.71,26.71,1921,5131979.27,0.0,10.01,2.43,0.31
2022-08-17,001339,29.38,29.38,29.38,29.38,5997,17619685.46,0.0,10.0,2.67,0.97
2022-08-18,001339,32.27,30.04,32.27,29.4,359730,1105196878.85,9.77,2.25,0.66,58.26
2022-08-19,001339,27.05,27.04,28.2,27.04,173828,473588462.21,3.86,-9.99,-3.0,28.15
2022-08-22,001339,25.6,24.71,25.88,24.4,176847,440048250.54,5.47,-8.62,-2.33,28.64
2022-08-23,001339,24.71,24.89,25.37,24.33,101652,253489750.74,4.21,0.73,0.18,16.46
2022-08-24,001339,24.85,23.23,24.86,23.18,117853,280298261.44,6.75,-6.67,-1.66,19.09
2022-08-25,001339,23.23,22.5,23.38,22.34,85949,194656114.72,4.48,-3.14,-0.73,13.92
2022-08-26,001339,22.4,22.36,22.84,22.3,56317,126776888.44,2.4,-0.62,-0.14,9.12
2022-08-29,001339,21.9,22.57,22.66,21.62,55854,124092326.63,4.65,0.94,0.21,9.05
2022-08-30,001339,22.4,22.56,22.97,22.32,51640,117177953.75,2.88,-0.04,-0.01,8.36
2022-08-31,001339,22.56,21.63,22.64,21.52,54179,118711604.02,4.96,-4.12,-0.93,8.77
2022-09-01,001339,21.6,21.54,21.97,21.51,35033,75964015.13,2.13,-0.42,-0.09,5.67
2022-09-02,001339,21.41,23.69,23.69,21.41,99088,228112878.8,10.58,9.98,2.15,16.05
2022-09-05,001339,24.0,26.06,26.06,23.17,258295,652550254.43,12.2,10.0,2.37,41.83
2022-09-06,001339,26.21,28.67,28.67,25.26,319648,875307635.11,13.09,10.02,2.61,51.76
2022-09-07,001339,28.0,25.8,28.97,25.8,235897,629553119.14,11.06,-10.01,-2.87,38.2
2022-09-08,001339,24.3,26.77,28.38,23.69,321708,831906952.82,18.18,3.76,0.97,52.1
2022-09-09,001339,25.83,25.55,26.2,24.7,172516,439346604.21,5.6,-4.56,-1.22,27.94
2022-09-13,001339,25.55,25.62,27.7,25.2,245662,645877663.63,9.78,0.27,0.07,39.78
2022-09-14,001339,25.16,28.18,28.18,25.14,361046,988380975.22,11.87,9.99,2.56,58.47
2022-09-15,001339,27.95,26.6,28.38,25.93,321157,865975325.22,8.69,-5.61,-1.58,52.01
2022-09-16,001339,26.6,25.52,27.88,25.35,229127,609401470.15,9.51,-4.06,-1.08,37.11
2022-09-19,001339,24.4,22.97,24.6,22.97,143063,331873964.93,6.39,-9.99,-2.55,23.17
2022-09-20,001339,22.36,22.98,23.28,22.34,117517,269146200.73,4.09,0.04,0.01,19.03
2022-09-21,001339,22.8,23.08,23.74,21.8,107627,246491131.98,8.44,0.44,0.1,17.43
2022-09-22,001339,23.0,23.61,23.68,22.75,115848,271600252.03,4.03,2.3,0.53,18.76
2022-09-23,001339,23.77,22.68,23.86,22.6,115152,266997835.56,5.34,-3.94,-0.93,18.65
2022-09-26,001339,22.31,22.18,22.82,22.04,72241,161605669.13,3.44,-2.2,-0.5,11.7
2022-09-27,001339,22.3,22.73,22.82,22.16,68653,154247575.79,2.98,2.48,0.55,11.12
2022-09-28,001339,22.48,21.2,22.5,21.19,86422,188494712.74,5.76,-6.73,-1.53,14.0
2022-09-29,001339,21.49,20.78,21.78,20.7,62545,132514247.18,5.09,-1.98,-0.42,10.13
2022-09-30,001339,20.79,20.14,21.08,20.02,52642,107755353.61,5.1,-3.08,-0.64,8.52
2022-10-10,001339,20.18,19.37,20.4,19.3,49631,98094635.6,5.46,-3.82,-0.77,8.04
2022-10-11,001339,19.5,19.85,19.98,18.91,56600,110359309.52,5.52,2.48,0.48,9.17
2022-10-12,001339,19.55,20.68,20.75,19.49,76436,154531527.44,6.35,4.18,0.83,12.38
2022-10-13,001339,20.44,21.14,21.69,20.42,89686,189672643.55,6.14,2.22,0.46,14.52
2022-10-14,001339,21.38,21.68,21.81,21.14,87744,188289015.71,3.17,2.55,0.54,14.21
2022-10-17,001339,22.55,23.85,23.85,22.55,106823,251340038.1,6.0,10.01,2.17,17.3
2022-10-18,001339,25.08,23.05,25.18,22.71,190798,452535131.88,10.36,-3.35,-0.8,30.9
2022-10-19,001339,23.0,25.18,25.36,22.92,275475,676972380.93,10.59,9.24,2.13,44.61
2022-10-20,001339,24.52,23.94,24.73,23.58,188088,454727918.25,4.57,-4.92,-1.24,30.46
2022-10-21,001339,24.0,25.07,26.15,23.82,185967,463904317.89,9.73,4.72,1.13,30.12
2022-10-24,001339,25.1,24.01,25.7,23.73,148262,367164268.78,7.86,-4.23,-1.06,24.01
2022-10-25,001339,23.95,23.27,24.18,23.0,108001,253176993.32,4.91,-3.08,-0.74,17.49
2022-10-26,001339,23.31,24.71,25.6,22.81,190633,475866967.12,11.99,6.19,1.44,30.87
2022-10-27,001339,24.53,24.05,24.81,24.01,112245,273227226.89,3.24,-2.67,-0.66,18.18
